date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Mkt_RF,SMB,HML,RMW,CMA,RF,UMD,other
1983m06,3,10.41,1.59,6.41,6.13,0.17,6.11,6.91,-0.54,3.07,1.18,-3.9,2.6,-0.87,0.67,1.8,0.258405486
1983m07,-2.65,-3.9,-2.58,-2.26,-5.36,-5.17,-3.27,-5.68,1.03,-4.07,1.01,5.62,-0.14,2.81,0.74,-3.13,0.994230559
1983m08,0.71,-2.38,0.62,6.83,-1.1,2.2,-4.73,-1.01,1.52,-0.5,-4.32,5.54,0.51,1.9,0.76,-5.65,0.951945906
1983m09,4.66,4.39,2.26,-4.63,2.15,2.26,2.18,1.3,4.66,0.91,0.3,1.01,1.24,0.5,0.76,-0.03,0.10326251
1983m10,-0.21,0.04,-2.29,-2.05,-6.94,-5.2,-1.76,-2.18,3.07,-3.44,-3.77,4.97,-0.77,2.96,0.76,-4.52,0.885324643
1983m11,2.3,4.23,6.46,-0.43,2.34,3.17,4.46,-3.01,-1.61,2.16,1.87,-0.72,-0.67,0.66,0.7,-0.13,0.020896678
1983m12,-0.48,0.92,-1.12,2.1,0.36,-1.54,-4.71,-3.58,-3.69,-1.78,-0.45,1.73,1.64,1.27,0.73,0.84,0.651873077
1984m01,-0.7,-5.38,-3.5,10.11,-6.2,4.09,-5.88,-0.62,1.45,-1.92,-0.04,7.58,-0.89,2.92,0.76,-2.56,0.525343841
1984m02,-5.72,-6.09,-6.6,3.87,-5.93,-3.68,-4.45,-2.02,-3.33,-4.82,-1.59,3.33,0.9,1.58,0.71,0.22,0.444114084
1984m03,1.62,0.35,3.29,0.26,1.79,-4.24,1.21,-0.67,-0.29,0.63,-0.29,0.46,-0.96,1.17,0.73,1.07,0.797857835
1984m04,0.57,1.32,-0.13,3.98,-0.43,2.18,0.31,2.32,-0.48,-0.51,-0.95,1.2,3.34,0.76,0.81,2.07,0.78783412
1984m05,-2.41,-5.77,-5.78,-5.04,-5.56,-3.5,-5.16,-6.45,-0.8,-5.97,0.13,0.31,2.36,-0.46,0.78,1.51,0.968787245
1984m06,6.33,2.11,3.19,-2.18,1.76,12.28,7.42,3.86,0.45,1.82,0.11,-2.66,3.17,-1.56,0.75,-0.7,0.556362323
1984m07,-1.61,2.53,-1.47,-7.46,-2.45,2.81,0.12,-3.76,-0.01,-2.74,-2.22,0.36,3.55,-2.15,0.82,2.85,0.10089536
1984m08,8.71,10.01,11.89,13.97,13.95,6.72,9.87,10.43,7.76,10.28,-0.26,-1.82,-0.68,-0.92,0.83,-5.59,0.862690373
1984m09,1.26,-0.2,-2.55,2.24,-3.99,2.9,0.09,-4.42,4.82,-0.8,-0.03,5.28,1.37,2.41,0.86,3.62,0.710321714
1984m10,1.38,2.15,0.57,-4.47,-0.5,-0.81,-0.74,1.65,3.34,-0.84,-1.44,0.45,1.18,-1.09,1,3.16,0.333043868
1984m11,0.38,-3.02,-1.34,-1.02,-3.83,-0.24,-2.92,-0.08,3.06,-1.76,-1.02,4.06,0.72,2.06,0.73,1.64,0.932537918
1984m12,2.5,4.61,2.15,-0.54,2.54,5.1,0.77,2.74,2.63,1.84,-0.65,-0.26,1.31,-1.36,0.64,1.49,0.16783059
1985m01,4.9,9.84,8.47,6.54,12.6,5.85,13.19,8.31,2.39,7.99,3.51,-5.35,-0.89,-3.41,0.65,-6.82,0.810777848
1985m02,5.08,-1.57,1.34,3.87,-1.33,2.69,2.1,3.59,1.38,1.22,1.04,-0.1,1.29,1.06,0.58,1.88,0.748289723
1985m03,4.63,-5.26,-2.78,1.45,-6.02,5.47,-0.61,3.07,6.1,-0.84,-1.39,4.07,1.23,2.88,0.62,1.58,0.861144612
1985m04,-2.12,-3.45,-1.49,3.81,-3.64,0.9,0.09,-1.76,1.61,-0.96,-0.1,3.72,1.55,0.71,0.72,3.04,0.334650099
1985m05,8,5.93,6.09,0.75,2.83,6.63,9.62,9.45,5.45,5.09,-2.31,-0.96,1.33,-1.49,0.66,3.99,0.153738096
1985m06,2.76,1.5,1.5,-0.76,-0.71,4.09,1.61,2.29,3.63,1.27,0.35,0.38,1.76,-0.77,0.55,3.57,0.494263982
1985m07,-2.62,2.39,3.41,-0.59,4.41,-4.55,-3.98,-0.47,-4.7,-0.74,2.87,-1.62,-0.42,-0.38,0.62,-3.91,0.992759727
1985m08,0.74,-2.64,-1.14,1.55,-2.54,0.54,-0.61,-0.82,1.91,-1.02,-0.29,2.32,-0.1,1.83,0.55,1.85,0.688695938
